id,customer_id,amount,res_hour,tr_type_str,mcc_code_str
1,39026145,-2245.9199,10,TRT1030,MCC4814
2,39026145,56147.891,10,TRT7010,MCC6011
3,39026145,-56147.891,10,TRT2330,MCC4829
4,39026145,-1392.47,10,TRT1010,MCC5499
5,39026145,-920.83002,15,TRT1010,MCC5499
6,39026145,-14643.37,15,TRT1010,MCC5541
7,39026145,-1010.66,15,TRT1010,MCC5499
8,39026145,-2829.8501,12,TRT1010,MCC5200
9,39026145,-628.85999,15,TRT1010,MCC5499
10,39026145,-5614.79,7,TRT1030,MCC4814
11,39026145,-14643.37,14,TRT1010,MCC5541
12,39026145,-3458.71,14,TRT1010,MCC5499
13,39026145,-21897.68,6,TRT1010,MCC5732
14,39026145,-4491.8301,6,TRT2010,MCC6011
15,39026145,-1122.96,7,TRT1030,MCC4814
16,39026145,-628.85999,14,TRT1010,MCC5499
17,39026145,224591.58,13,TRT7020,MCC6010
18,39026145,-2245.9199,8,TRT1030,MCC4814
19,39026145,-44918.32,8,TRT2010,MCC6011
20,39026145,-4491.8301,14,TRT2010,MCC6011
21,39026145,-2245.9199,14,TRT1030,MCC4814
22,39026145,-2245.9199,14,TRT1030,MCC4814
23,39026145,-2245.9199,11,TRT1030,MCC4814
24,39026145,-145984.53,11,TRT2010,MCC6011
25,39026145,-898366.31,14,TRT2010,MCC6011
26,39026145,-22459.16,14,TRT2330,MCC4829
27,39026145,-4873.6401,14,TRT1010,MCC5541
28,39026145,-14643.37,14,TRT1010,MCC5541
29,39026145,-6288.5601,0,TRT1110,MCC5331
30,39026145,-1122.96,0,TRT1110,MCC5331
31,39026145,-22683.75,0,TRT1110,MCC5331
32,39026145,-1010.66,0,TRT1110,MCC5331
33,39026145,-17630.439,4,TRT1010,MCC5732
34,39026145,-43391.09,4,TRT1010,MCC5541
35,39026145,-2807.3899,6,TRT1010,MCC5200
36,39026145,-2245.9199,7,TRT1030,MCC4814
37,39026145,-9769.7305,9,TRT1010,MCC5331
38,39026145,-3660.8401,10,TRT1010,MCC5541
39,39026145,-449.17999,13,TRT1030,MCC4814
40,39026145,-1122.96,13,TRT1030,MCC4814
41,39026145,-741.15002,12,TRT1010,MCC5912
42,39026145,-2245.9199,5,TRT1030,MCC4814
43,39026145,22459.16,12,TRT7010,MCC6011
44,39026145,-1122.96,12,TRT1030,MCC4814
45,39026145,-14778.13,16,TRT1010,MCC5541
46,39026145,-449.17999,0,TRT1110,MCC5331
47,39026145,-3368.8701,0,TRT1110,MCC5331
48,39026145,-2919.6899,0,TRT1110,MCC5499
49,39026145,-561.47998,0,TRT1110,MCC5411
50,39026145,-4491.8301,0,TRT1110,MCC5499
51,39026145,-1010.66,0,TRT1110,MCC5499
52,39026145,-1392.47,13,TRT1010,MCC5499
53,39026145,-4357.0801,13,TRT1010,MCC5499
54,39026145,-471.64001,13,TRT1010,MCC5499
55,39026145,-4087.5701,14,TRT1010,MCC5499
56,39026145,-14778.13,15,TRT1010,MCC5541
57,39026145,-12044.85,5,TRT1010,MCC5912
58,39026145,-15267.74,5,TRT1010,MCC5912
59,39026145,-1617.0601,6,TRT1010,MCC5499
60,39026145,-44918.32,10,TRT2010,MCC6011
61,39026145,-1122.96,11,TRT1030,MCC4814
62,39026145,-4238.04,16,TRT1010,MCC5499
63,39026145,-1909.03,16,TRT1010,MCC5499
64,39026145,-2245.9199,10,TRT1030,MCC4814
65,39026145,-6378.3999,12,TRT1010,MCC5499
66,39026145,-44.919998,12,TRT1010,MCC5499
67,39026145,-1122.96,16,TRT1030,MCC4814
68,39026145,22459.16,11,TRT7010,MCC6011
69,39026145,-3368.8701,11,TRT1030,MCC4814
70,39026145,-15721.41,11,TRT2010,MCC6011
71,39026145,-1122.96,18,TRT1030,MCC4814
72,39026145,96574.383,5,TRT7020,MCC6010
73,39026145,-2245.9199,15,TRT1030,MCC4814
74,39026145,-2021.3199,6,TRT1010,MCC5499
75,39026145,-965.73999,14,TRT1030,MCC4814
76,39026145,22459.16,9,TRT7010,MCC6011
77,39026145,-11229.58,9,TRT2010,MCC6011
78,39026145,-1100.5,6,TRT1010,MCC5499
79,39026145,-1122.96,8,TRT1030,MCC4814
80,39026145,-188656.92,12,TRT2010,MCC6011
81,39026145,-15227.31,7,TRT1010,MCC5541
82,39026145,-1122.96,9,TRT1030,MCC4814
83,39026145,-4154.9399,0,TRT1110,MCC5331
84,39026145,-1122.96,0,TRT1110,MCC5331
85,39026145,-15990.92,8,TRT1010,MCC5912
86,39026145,-2975.8401,8,TRT1010,MCC5331
87,39026145,-4132.4902,16,TRT1010,MCC5499
88,39026145,-136372.02,0,TRT1110,MCC5331
89,39026145,-179673.27,5,TRT2010,MCC6011
90,39026145,44918.32,13,TRT7010,MCC6011
91,39026145,-17181.26,0,TRT1110,MCC5331
92,39026145,-18191.92,0,TRT1110,MCC5499
93,39026145,-15227.31,9,TRT1010,MCC5541
94,39026145,-696.22998,14,TRT1010,MCC5499
95,39026145,-1617.0601,14,TRT1010,MCC5499
96,39026145,-2245.9199,19,TRT1030,MCC4814
97,39026145,-6295.2998,0,TRT1110,MCC5499
98,39026145,-1167.88,0,TRT1110,MCC5499
99,39026145,-36046.949,0,TRT1110,MCC5331
100,39026145,-33688.738,9,TRT2010,MCC6011
101,39026145,-1033.12,11,TRT1010,MCC5499
102,39026145,-89836.633,11,TRT2010,MCC6011
103,39026145,-1122.96,14,TRT1030,MCC4814
104,39026145,-112295.79,13,TRT2010,MCC6011
105,39026145,-1122.96,13,TRT1010,MCC5499
106,39026145,-1122.96,18,TRT1030,MCC4814
107,39026145,-89836.633,7,TRT2010,MCC6011
108,39026145,-2829.8501,16,TRT1010,MCC5499
109,39026145,-673.77002,0,TRT1110,MCC5499
110,39026145,-1841.65,6,TRT1010,MCC5499
111,39026145,-11420.48,16,TRT1010,MCC5541
112,39026145,-2560.3401,16,TRT1010,MCC5541
113,39026145,-718.69,16,TRT1010,MCC5541
114,39026145,-696.22998,0,TRT1110,MCC5499
115,39026145,-3144.28,0,TRT1110,MCC5331
116,39026145,-1122.96,8,TRT1010,MCC5499
117,39026145,-4425.7998,8,TRT1010,MCC5912
118,39026145,-494.10001,11,TRT1010,MCC5200
119,39026145,-2784.9399,15,TRT1010,MCC5499
120,39026145,-67377.469,9,TRT2010,MCC6011
121,39026145,-4491.8301,13,TRT1030,MCC4814
122,39026145,101066.21,13,TRT7020,MCC6010
123,39026145,-11229.58,17,TRT2010,MCC6011
124,39026145,-33688.738,17,TRT2010,MCC6011
125,39026145,-11229.58,17,TRT2010,MCC6011
126,39026145,-1190.34,9,TRT1010,MCC5499
127,39026145,-673.77002,10,TRT1010,MCC5499
128,39026145,-6355.9399,14,TRT1010,MCC5499
129,39026145,-44918.32,16,TRT2010,MCC6011
130,39026145,-2245.9199,7,TRT1030,MCC4814
131,39026145,-31442.82,13,TRT2010,MCC6011
132,39026145,-4357.0801,5,TRT1010,MCC5499
133,39026145,-7366.6001,5,TRT1010,MCC5499
134,39026145,-13475.49,5,TRT1030,MCC4814
135,39026145,-44918.32,5,TRT2010,MCC6011
136,39026145,-11656.3,13,TRT1010,MCC5541
137,39026145,-606.40002,13,TRT1010,MCC5541
138,39026145,-1796.73,9,TRT1010,MCC5499
139,39026145,-7467.6699,14,TRT1010,MCC5499
140,39026145,-2650.1799,14,TRT1010,MCC5499
141,39026145,-1302.63,0,TRT1110,MCC5499
142,39026145,-20213.24,12,TRT2010,MCC6011
143,39026145,-2335.75,13,TRT1010,MCC5499
144,39026145,-20213.24,7,TRT2010,MCC6011
145,39026145,-89836.633,8,TRT2010,MCC6011
146,39026145,-1122.96,13,TRT1030,MCC4814
147,39026145,-4491.8301,10,TRT2010,MCC6011
